DISPOSITION_attached_pic,DISPOSITION_clean_effects,DISPOSITION_comment,DISPOSITION_default,DISPOSITION_dub,DISPOSITION_forced,DISPOSITION_hearing_impaired,DISPOSITION_karaoke,DISPOSITION_lyrics,DISPOSITION_original,DISPOSITION_timed_thumbnails,DISPOSITION_visual_impaired,TAG_album,TAG_artist,TAG_encoder,TAG_genre,TAG_title,TAG_track,avg_frame_rate,bit_rate,bits_per_raw_sample,bits_per_sample,channel_layout,channels,chroma_location,codec_long_name,codec_name,codec_tag,codec_tag_string,codec_time_base,codec_type,coded_height,coded_width,color_primaries,color_range,color_space,color_transfer,display_aspect_ratio,duration,duration_ts,field_order,filename,format_long_name,format_name,has_b_frames,height,id,index,level,max_bit_rate,nb_frames,nb_programs,nb_read_frames,nb_read_packets,nb_streams,pix_fmt,probe_score,profile,r_frame_rate,refs,sample_aspect_ratio,sample_fmt,sample_rate,side_data_type,size,start_pts,start_time,time_base,timecode,width,TAG_AlbumArtist,TAG_WM/MediaPrimaryClassID,TAG_WM/Provider,TAG_WM/ProviderStyle,TAG_WM/Publisher,TAG_WM/UniqueFileIdentifier,TAG_WMFSDKNeeded,TAG_WMFSDKVersion,TAG_Year,TAG_composer,TAG_date,TAG_mp3gain_minmax,TAG_replaygain_track_gain,TAG_replaygain_track_peak,TAG_ENCODEDBY,TAG_PLAY_COUNTER,TAG_PLAY_DATE,TAG_PLAY_TIME,TAG_album_artist,TAG_mp3gain_undo,TAG_WWW
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,阳光宅男.mp3,4,0/0,291120,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,222.876735,20058906,unknown,Jay Chou\我很忙\1304.阳光宅男.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,8110485,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,蒲公英的约定.mp3,5,0/0,282911,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,247.248980,22252408,unknown,Jay Chou\我很忙\1305.蒲公英的约定.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,8743707,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,无双.mp3,6,0/0,312907,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,233.560816,21020473,unknown,Jay Chou\我很忙\1306.无双.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,9135363,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,我不配.mp3,7,0/0,307980,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,288.809796,25992882,unknown,Jay Chou\我很忙\1307.我不配.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,11118459,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,扯.mp3,8,0/0,285494,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,210.442449,18939820,unknown,Jay Chou\我很忙\1308.扯.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,7510031,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,甜甜的.mp3,9,0/0,310731,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,243.905306,21951478,unknown,Jay Chou\我很忙\1309.甜甜的.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,9473645,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,最长的电影.mp3,10,0/0,280987,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,235.885714,21229714,unknown,Jay Chou\我很忙\1310.最长的电影.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,8285108,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,上海 一九四三.mp3,6,0/0,322220,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,195.840000,17625600,unknown,Jay Chou\范特西\周杰伦 - 上海 一九四三.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,7887952,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,双截棍.mp3,9,0/0,322162,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,201.064490,18095804,unknown,Jay Chou\范特西\周杰伦 - 双截棍.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,8096921,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,威廉古堡.mp3,8,0/0,321840,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,236.251429,21262629,unknown,Jay Chou\范特西\周杰伦 - 威廉古堡.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9504402,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,安静.mp3,10,0/0,321300,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,334.288980,30086008,unknown,Jay Chou\范特西\周杰伦 - 安静.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,13425898,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
